日期,时间,开盘价,最高价,最低价,收盘价,成交量,成交额,涨家数,跌家数
2018-1-3,00:00:00,0.280,0.280,0.260,0.260,1200000,330000,14,0
2018-1-4,00:00:00,0.280,0.285,0.280,0.275,720000,204900,10,0
2018-1-5,00:00:00,0.290,0.290,0.265,0.265,660000,184500,9,0
2018-1-8,00:00:00,0.260,0.295,0.260,0.295,360000,96750,7,0
2018-1-9,00:00:00,0.285,0.285,0.275,0.275,1320000,370200,12,0
2018-1-10,00:00:00,0.275,0.280,0.270,0.270,900000,245800,14,0
2018-1-11,00:00:00,0.265,0.265,0.248,0.260,1670000,420565,24,0
2018-1-12,00:00:00,0.260,0.260,0.255,0.260,520000,133800,8,0
2018-1-15,00:00:00,0.270,0.275,0.241,0.241,3940000,1013145,42,0
2018-1-16,00:00:00,0.249,0.260,0.247,0.249,8840000,2226670,98,0
2018-1-17,00:00:00,0.270,0.270,0.249,0.250,9210000,2348240,65,0
2018-1-18,00:00:00,0.265,0.265,0.248,0.248,10935000,2812225,102,0
2018-1-19,00:00:00,0.243,0.250,0.242,0.247,3290000,804690,28,0
2018-1-22,00:00:00,0.265,0.315,0.265,0.315,4350000,1298475,59,0
2018-1-23,00:00:00,0.330,0.330,0.305,0.305,3480000,1092250,47,0
2018-1-24,00:00:00,0.315,0.315,0.290,0.295,4160000,1228125,55,0
2018-1-25,00:00:00,0.285,0.285,0.265,0.275,7775000,2141550,114,0
2018-1-26,00:00:00,0.275,0.285,0.275,0.290,1470000,408250,20,0
2018-1-29,00:00:00,0.285,0.295,0.250,0.255,5850000,1616150,82,0
2018-1-30,00:00:00,0.265,0.270,0.240,0.241,4990000,1238930,47,0
2018-1-31,00:00:00,0.244,0.244,0.223,0.227,16520000,3847745,103,0
2018-2-1,00:00:00,0.228,0.228,0.228,0.228,195000,44460,1,0
2018-2-2,00:00:00,0.235,0.235,0.235,0.235,520000,122200,2,0
2018-2-9,00:00:00,0.122,0.122,0.105,0.109,8755000,961245,67,0
2018-2-12,00:00:00,0.119,0.126,0.118,0.125,25050000,3031960,96,0
2018-2-13,00:00:00,0.138,0.145,0.129,0.130,14700000,2019610,0,0
2018-2-14,00:00:00,0.137,0.138,0.131,0.137,11145000,1502910,117,0
2018-2-15,00:00:00,0.153,0.154,0.149,0.151,5790000,873100,78,0
2018-2-20,00:00:00,0.142,0.143,0.135,0.141,3170000,444735,45,0
2018-2-21,00:00:00,0.145,0.152,0.138,0.152,9660000,1389730,135,0
2018-2-22,00:00:00,0.144,0.155,0.143,0.147,21795000,3219785,169,0
2018-2-23,00:00:00,0.152,0.153,0.140,0.148,13395000,1978695,155,0
2018-2-26,00:00:00,0.155,0.157,0.143,0.153,41285000,6165275,247,0
2018-2-27,00:00:00,0.161,0.162,0.134,0.136,65805000,9713760,347,0
2018-2-28,00:00:00,0.129,0.132,0.123,0.128,23130000,2934590,182,0
2018-3-1,00:00:00,0.127,0.130,0.118,0.123,55210000,6840115,194,0
2018-3-2,00:00:00,0.100,0.104,0.097,0.098,46260000,4709535,165,0
2018-3-5,00:00:00,0.102,0.103,0.085,0.085,59170000,5649335,226,0
2018-3-6,00:00:00,0.099,0.099,0.089,0.092,30375000,2784965,101,0
2018-3-7,00:00:00,0.090,0.091,0.079,0.081,12330000,1054175,113,0
2018-3-8,00:00:00,0.084,0.094,0.084,0.092,5365000,475825,50,0
2018-3-9,00:00:00,0.097,0.104,0.096,0.100,12680000,1281830,112,0
2018-3-12,00:00:00,0.110,0.112,0.100,0.100,20795000,2154855,0,0
