日期,时间,开盘价,最高价,最低价,收盘价,成交量,成交额,涨家数,跌家数
2005-1-3,00:00:00,98.860,99.276,98.378,98.741,0,67802000,0,0
2005-1-4,00:00:00,97.869,98.891,97.450,97.869,0,67686000,0,0
2005-1-5,00:00:00,96.044,98.402,95.960,96.097,0,58442000,0,0
2005-1-6,00:00:00,95.732,96.360,95.206,95.510,0,47185000,0,0
2005-1-7,00:00:00,95.545,95.911,94.412,94.957,0,69096000,0,0
2005-1-10,00:00:00,95.384,95.715,94.603,95.384,0,70947000,0,0
2005-1-11,00:00:00,95.100,96.805,95.189,96.805,0,117640000,0,0
2005-1-12,00:00:00,96.900,97.461,96.588,97.315,0,58003000,0,0
2005-1-13,00:00:00,97.200,97.817,96.944,97.483,0,39518000,0,0
2005-1-14,00:00:00,97.100,97.464,96.483,97.113,0,39089000,0,0
2005-1-17,00:00:00,97.084,97.297,96.580,96.872,0,54252000,0,0
2005-1-18,00:00:00,96.934,96.949,96.090,96.808,0,62357000,0,0
2005-1-19,00:00:00,96.911,97.355,96.460,97.231,0,405033000,0,0
2005-1-20,00:00:00,97.073,97.315,96.379,97.315,0,75379000,0,0
2005-1-21,00:00:00,97.315,97.491,96.843,97.090,0,58329000,0,0
2005-1-24,00:00:00,96.976,97.367,96.411,97.376,0,29143000,0,0
2005-1-25,00:00:00,97.475,97.547,96.351,97.159,0,59349000,0,0
2005-1-26,00:00:00,97.159,97.267,96.389,96.591,0,53435000,0,0
2005-1-27,00:00:00,96.641,96.866,96.221,96.346,0,51030000,0,0
2005-1-28,00:00:00,96.346,96.859,96.314,96.812,0,0,0,0
2005-1-31,00:00:00,96.864,97.327,96.818,97.192,0,29211000,0,0
2005-2-1,00:00:00,97.152,98.084,96.646,96.908,0,48722000,0,0
2005-2-2,00:00:00,96.908,98.255,96.878,97.957,0,64430000,0,0
2005-2-3,00:00:00,98.991,100.492,98.174,98.978,0,0,0,0
2005-2-4,00:00:00,99.366,100.038,99.255,99.854,0,99991000,0,0
2005-2-7,00:00:00,99.903,100.268,99.396,99.770,0,42701000,0,0
2005-2-8,00:00:00,99.831,100.207,99.320,99.839,0,27813000,0,0
2005-2-14,00:00:00,99.943,100.992,99.943,100.992,0,78080000,0,0
2005-2-15,00:00:00,100.943,101.461,100.073,101.335,0,45639000,0,0
2005-2-16,00:00:00,101.450,101.467,100.603,100.821,0,43429000,0,0
2005-2-17,00:00:00,100.801,100.861,100.044,100.422,0,67802000,0,0
2005-2-18,00:00:00,100.491,100.764,100.094,100.764,0,48860000,0,0
2005-2-21,00:00:00,100.642,101.281,100.350,101.177,0,63006000,0,0
2005-2-22,00:00:00,101.249,101.249,99.607,99.784,0,59030000,0,0
2005-2-23,00:00:00,99.655,99.781,99.256,99.525,0,54535000,0,0
2005-2-24,00:00:00,99.805,100.269,98.688,98.802,0,47088000,0,0
2005-2-25,00:00:00,98.714,99.296,96.814,97.758,0,90176000,0,0
2005-2-28,00:00:00,98.102,99.111,98.027,98.811,0,111052000,0,0
2005-3-1,00:00:00,98.954,99.088,98.044,98.482,0,92044000,0,0
2005-3-2,00:00:00,98.627,99.184,97.980,98.282,0,68567000,0,0
2005-3-3,00:00:00,98.230,98.637,98.062,98.546,0,70639000,0,0
2005-3-4,00:00:00,98.546,98.903,97.790,98.049,0,59604000,0,0
