日期,时间,开盘价,最高价,最低价,收盘价,成交量,成交额,涨家数,跌家数
2005-1-3,00:00:00,1574.043,1581.576,1567.929,1577.402,0,0,0,0
2005-1-4,00:00:00,1556.425,1573.330,1550.294,1556.426,0,4294852579328,0,0
2005-1-5,00:00:00,1517.580,1544.239,1516.079,1522.233,0,0,0,0
2005-1-6,00:00:00,1518.737,1525.241,1512.185,1516.540,0,0,0,0
2005-1-7,00:00:00,1516.823,1524.362,1481.367,1498.995,0,0,0,0
2005-1-10,00:00:00,1496.655,1504.593,1485.419,1499.492,0,0,0,0
2005-1-11,00:00:00,1506.200,1512.505,1490.305,1495.328,0,0,0,0
2005-1-12,00:00:00,1491.100,1504.081,1479.122,1503.700,0,0,0,0
2005-1-13,00:00:00,1507.100,1513.224,1500.691,1506.594,0,0,0,0
2005-1-14,00:00:00,1503.200,1509.112,1488.526,1497.085,0,0,0,0
2005-1-17,00:00:00,1500.413,1513.716,1500.413,1511.813,0,0,0,0
2005-1-18,00:00:00,1512.736,1512.736,1499.391,1510.515,0,0,0,0
2005-1-19,00:00:00,1514.248,1522.384,1509.283,1518.304,0,0,0,0
2005-1-20,00:00:00,1504.399,1508.805,1498.802,1504.560,0,0,0,0
2005-1-21,00:00:00,1499.465,1501.065,1490.719,1495.511,0,0,0,0
2005-1-24,00:00:00,1492.902,1496.331,1478.731,1483.620,0,0,0,0
2005-1-25,00:00:00,1484.733,1506.467,1482.573,1505.802,0,0,0,0
2005-1-26,00:00:00,1510.157,1516.769,1506.375,1512.706,0,0,0,0
2005-1-27,00:00:00,1514.197,1526.702,1508.602,1510.788,0,0,0,0
2005-1-28,00:00:00,1511.934,1517.520,1503.513,1514.307,0,0,0,0
2005-1-31,00:00:00,1510.454,1524.419,1505.289,1519.877,0,0,0,0
2005-2-1,00:00:00,1519.617,1521.139,1498.475,1503.709,0,0,0,0
2005-2-2,00:00:00,1504.940,1507.100,1489.576,1502.224,0,0,0,0
2005-2-3,00:00:00,1498.343,1503.562,1490.870,1496.885,0,0,0,0
