日期,时间,开盘价,最高价,最低价,收盘价,成交量,成交额,涨家数,跌家数
1992-4-1,00:00:00,400.100,400.300,395.200,397.500,0,0,0,0
1992-4-2,00:00:00,398.200,398.700,395.500,397.800,0,0,0,0
1992-4-3,00:00:00,397.800,399.200,396.400,397.500,0,0,0,0
1992-4-6,00:00:00,393.600,396.100,393.600,396.100,0,0,0,0
1992-4-7,00:00:00,397.100,397.200,393.800,396.400,0,0,0,0
1992-4-8,00:00:00,395.700,396.400,384.400,386.800,0,0,0,0
1992-4-9,00:00:00,386.800,388.500,379.800,380.300,0,0,0,0
1992-4-10,00:00:00,383.200,397.800,383.200,397.000,0,0,0,0
1992-4-13,00:00:00,397.300,398.900,394.500,395.100,0,0,0,0
1992-4-14,00:00:00,393.700,394.200,391.700,393.200,0,0,0,0
1992-4-15,00:00:00,393.200,400.500,393.200,400.100,0,0,0,0
1992-4-16,00:00:00,398.100,405.500,398.100,404.200,0,0,0,0
1992-4-21,00:00:00,404.400,405.900,403.500,405.900,0,0,0,0
1992-4-22,00:00:00,405.800,416.500,405.800,416.400,0,0,0,0
1992-4-23,00:00:00,416.400,423.900,416.400,420.800,0,0,0,0
1992-4-24,00:00:00,422.000,424.600,421.200,421.400,0,0,0,0
1992-4-27,00:00:00,421.400,425.600,420.400,425.600,0,0,0,0
1992-4-28,00:00:00,425.600,430.100,425.600,429.400,0,0,0,0
1992-4-29,00:00:00,429.400,430.500,425.200,425.700,0,0,0,0
1992-4-30,00:00:00,425.700,429.600,425.700,427.100,0,0,0,0
1992-5-1,00:00:00,427.100,441.500,427.100,441.200,0,0,0,0
1992-5-4,00:00:00,444.400,455.900,444.400,454.100,0,0,0,0
1992-5-5,00:00:00,454.600,459.300,451.700,455.400,0,0,0,0
1992-5-6,00:00:00,455.400,455.400,446.900,447.500,0,0,0,0
1992-5-7,00:00:00,448.500,453.300,448.500,453.200,0,0,0,0
1992-5-8,00:00:00,454.100,456.300,452.500,453.600,0,0,0,0
1992-5-11,00:00:00,453.600,456.400,451.400,455.600,0,0,0,0
1992-5-12,00:00:00,455.600,463.200,455.600,461.700,0,0,0,0
1992-5-13,00:00:00,459.600,464.900,459.600,464.100,0,0,0,0
1992-5-14,00:00:00,464.100,470.400,463.400,464.400,0,0,0,0
1992-5-15,00:00:00,461.500,465.300,460.800,460.800,0,0,0,0
1992-5-18,00:00:00,457.500,460.600,455.700,459.000,0,0,0,0
1992-5-19,00:00:00,459.000,461.200,458.900,459.700,0,0,0,0
1992-5-20,00:00:00,460.900,472.400,460.900,471.300,0,0,0,0
1992-5-21,00:00:00,472.800,481.500,472.800,480.300,0,0,0,0
1992-5-22,00:00:00,480.300,485.400,478.500,480.200,0,0,0,0
1992-5-25,00:00:00,490.400,491.500,486.300,486.700,0,0,0,0
1992-5-26,00:00:00,486.700,497.100,485.900,496.500,0,0,0,0
1992-5-27,00:00:00,497.100,501.800,493.900,497.600,0,0,0,0
1992-5-28,00:00:00,502.600,504.100,493.500,495.300,0,0,0,0
1992-5-29,00:00:00,495.300,504.500,493.700,504.400,0,0,0,0
1992-6-1,00:00:00,505.400,512.000,502.500,503.900,0,0,0,0
1992-6-2,00:00:00,503.900,504.000,498.000,501.500,0,0,0,0
1992-6-3,00:00:00,501.700,501.700,496.500,499.700,0,0,0,0
1992-6-4,00:00:00,498.900,502.100,495.900,499.000,0,0,0,0
1992-6-8,00:00:00,499.000,499.000,493.600,493.700,0,0,0,0
1992-6-9,00:00:00,493.700,496.100,489.600,494.800,0,0,0,0
1992-6-10,00:00:00,494.800,497.800,489.600,491.000,0,0,0,0
1992-6-11,00:00:00,490.500,490.500,482.400,485.500,0,0,0,0
1992-6-12,00:00:00,485.500,487.600,479.100,482.600,0,0,0,0
1992-6-16,00:00:00,482.100,486.100,477.700,485.900,0,0,0,0
1992-6-17,00:00:00,484.500,488.900,484.500,484.700,0,0,0,0
1992-6-18,00:00:00,484.100,484.600,482.400,482.400,0,0,0,0
1992-6-19,00:00:00,482.000,482.000,477.500,480.100,0,0,0,0
1992-6-22,00:00:00,480.100,487.300,479.700,482.600,0,0,0,0
1992-6-23,00:00:00,482.600,488.500,480.000,487.800,0,0,0,0
1992-6-24,00:00:00,487.800,495.000,486.500,492.400,0,0,0,0
1992-6-25,00:00:00,492.400,503.400,492.400,500.700,0,0,0,0
1992-6-26,00:00:00,500.700,507.500,500.400,501.700,0,0,0,0
1992-6-29,00:00:00,501.700,501.700,492.600,494.100,0,0,0,0
1992-6-30,00:00:00,494.100,497.400,491.200,495.600,0,0,0,0
1992-7-1,00:00:00,495.600,498.100,494.200,494.500,0,0,0,0
1992-7-2,00:00:00,494.500,496.400,488.400,488.400,0,0,0,0
1992-7-3,00:00:00,488.400,488.600,479.300,487.500,0,0,0,0
1992-7-6,00:00:00,487.500,490.100,484.700,485.300,0,0,0,0
1992-7-7,00:00:00,485.300,485.300,474.000,478.500,0,0,0,0
1992-7-8,00:00:00,478.500,481.400,475.200,481.000,0,0,0,0
1992-7-9,00:00:00,481.000,481.200,477.500,479.000,0,0,0,0
1992-7-10,00:00:00,479.000,483.500,477.700,482.000,0,0,0,0
1992-7-13,00:00:00,482.000,489.300,482.000,488.700,0,0,0,0
1992-7-14,00:00:00,488.700,493.100,488.700,491.600,0,0,0,0
1992-7-15,00:00:00,491.600,493.700,488.800,490.900,0,0,0,0
1992-7-16,00:00:00,490.900,497.100,490.900,492.500,0,0,0,0
1992-7-17,00:00:00,492.500,493.000,487.700,487.800,0,0,0,0
1992-7-20,00:00:00,486.700,486.700,474.400,474.400,0,0,0,0
1992-7-21,00:00:00,474.400,476.400,468.900,472.800,0,0,0,0
1992-7-23,00:00:00,472.800,472.800,462.300,462.300,0,0,0,0
1992-7-24,00:00:00,462.300,462.900,452.500,453.000,0,0,0,0
1992-7-27,00:00:00,453.000,453.000,443.500,444.600,0,0,0,0
1992-7-28,00:00:00,444.600,454.200,444.600,453.900,0,0,0,0
1992-7-29,00:00:00,453.900,462.700,453.900,462.400,0,0,0,0
1992-7-30,00:00:00,462.400,465.000,458.000,460.600,0,0,0,0
1992-7-31,00:00:00,460.600,463.200,458.200,462.200,0,0,0,0
1992-8-3,00:00:00,462.200,465.400,461.400,463.000,0,0,0,0
1992-8-4,00:00:00,463.000,464.800,457.800,459.100,0,0,0,0
1992-8-5,00:00:00,459.100,459.100,454.800,457.000,0,0,0,0
1992-8-6,00:00:00,457.000,460.300,456.100,459.200,0,0,0,0
1992-8-7,00:00:00,459.200,459.200,454.500,456.600,0,0,0,0
1992-8-10,00:00:00,456.600,458.300,454.700,454.700,0,0,0,0
1992-8-11,00:00:00,454.700,456.000,453.800,454.800,0,0,0,0
1992-8-12,00:00:00,454.800,460.600,453.300,454.500,0,0,0,0
1992-8-13,00:00:00,451.100,454.500,450.600,451.700,0,0,0,0
1992-8-14,00:00:00,451.700,453.000,450.000,450.000,0,0,0,0
1992-8-17,00:00:00,450.000,450.000,436.200,436.600,0,0,0,0
1992-8-18,00:00:00,436.600,441.600,434.900,439.300,0,0,0,0
1992-8-19,00:00:00,439.300,441.200,431.300,431.900,0,0,0,0
