日期,时间,开盘价,最高价,最低价,收盘价,成交量,成交额,涨家数,跌家数
1993-1-4,00:00:00,153.179,153.179,153.179,153.179,0,0,0,0
1993-1-5,00:00:00,156.080,156.080,156.080,156.080,0,0,0,0
1993-1-6,00:00:00,154.139,154.139,154.139,154.139,0,0,0,0
1993-1-7,00:00:00,152.851,152.851,152.851,152.851,0,0,0,0
1993-1-8,00:00:00,153.219,153.219,153.219,153.219,0,0,0,0
1993-1-11,00:00:00,154.438,154.438,154.438,154.438,0,0,0,0
1993-1-12,00:00:00,154.529,154.529,154.529,154.529,0,0,0,0
1993-1-13,00:00:00,154.126,154.126,154.126,154.126,0,0,0,0
1993-1-14,00:00:00,156.668,156.668,156.668,156.668,0,0,0,0
1993-1-15,00:00:00,157.159,157.159,157.159,157.159,0,0,0,0
1993-1-18,00:00:00,157.885,157.885,157.885,157.885,0,0,0,0
1993-1-19,00:00:00,157.494,157.494,157.494,157.494,0,0,0,0
1993-1-20,00:00:00,155.333,155.333,155.333,155.333,0,0,0,0
1993-1-21,00:00:00,157.053,157.053,157.053,157.053,0,0,0,0
1993-1-26,00:00:00,156.181,156.181,156.181,156.181,0,0,0,0
1993-1-27,00:00:00,155.973,155.973,155.973,155.973,0,0,0,0
1993-1-28,00:00:00,153.225,153.225,153.225,153.225,0,0,0,0
1993-1-29,00:00:00,151.031,151.031,151.031,151.031,0,0,0,0
1993-2-1,00:00:00,153.181,153.181,153.181,153.181,0,0,0,0
1993-2-2,00:00:00,151.436,151.436,151.436,151.436,0,0,0,0
1993-2-3,00:00:00,151.670,151.670,151.670,151.670,0,0,0,0
1993-2-4,00:00:00,153.511,153.511,153.511,153.511,0,0,0,0
1993-2-5,00:00:00,151.748,151.748,151.748,151.748,0,0,0,0
1993-2-8,00:00:00,152.378,152.378,152.378,152.378,0,0,0,0
1993-2-9,00:00:00,153.282,153.282,153.282,153.282,0,0,0,0
1993-2-10,00:00:00,158.232,158.232,158.232,158.232,0,0,0,0
1993-2-11,00:00:00,159.688,159.688,159.688,159.688,0,0,0,0
1993-2-12,00:00:00,160.294,160.294,160.294,160.294,0,0,0,0
1993-2-15,00:00:00,164.352,164.352,164.352,164.352,0,0,0,0
1993-2-16,00:00:00,162.600,162.600,162.600,162.600,0,0,0,0
1993-2-17,00:00:00,161.129,161.129,161.129,161.129,0,0,0,0
1993-2-18,00:00:00,163.508,163.508,163.508,163.508,0,0,0,0
1993-2-19,00:00:00,164.890,164.890,164.890,164.890,0,0,0,0
1993-2-22,00:00:00,165.897,165.897,165.897,165.897,0,0,0,0
1993-2-23,00:00:00,162.226,162.226,162.226,162.226,0,0,0,0
1993-2-24,00:00:00,164.283,164.283,164.283,164.283,0,0,0,0
1993-2-25,00:00:00,163.241,163.241,163.241,163.241,0,0,0,0
1993-2-26,00:00:00,165.052,165.052,165.052,165.052,0,0,0,0
