日期,时间,开盘价,最高价,最低价,收盘价,成交量,成交额,涨家数,跌家数
1993-7-15,00:00:00,396.465,396.465,396.465,396.465,0,0,0,0
1993-7-16,00:00:00,390.959,390.959,390.959,390.959,0,0,0,0
1993-7-19,00:00:00,377.194,377.194,377.194,377.194,0,0,0,0
1993-7-20,00:00:00,377.194,377.194,377.194,377.194,0,0,0,0
1993-7-21,00:00:00,385.453,385.453,385.453,385.453,0,0,0,0
1993-7-22,00:00:00,382.700,382.700,382.700,382.700,0,0,0,0
1993-7-23,00:00:00,382.700,382.700,382.700,382.700,0,0,0,0
1993-7-26,00:00:00,393.712,393.712,393.712,393.712,0,0,0,0
1993-7-27,00:00:00,387.872,387.872,387.872,387.872,0,0,0,0
1993-7-28,00:00:00,386.139,386.139,386.139,386.139,0,0,0,0
1993-7-29,00:00:00,376.078,376.078,376.078,376.078,0,0,0,0
1993-7-30,00:00:00,367.697,367.697,367.697,367.697,0,0,0,0
1993-8-2,00:00:00,370.237,370.237,370.237,370.237,0,0,0,0
1993-8-3,00:00:00,376.134,376.134,376.134,376.134,0,0,0,0
1993-8-4,00:00:00,388.089,388.089,388.089,388.089,0,0,0,0
1993-8-5,00:00:00,407.669,407.669,407.669,407.669,0,0,0,0
1993-8-6,00:00:00,423.245,423.245,423.245,423.245,0,0,0,0
1993-8-9,00:00:00,439.702,439.702,439.702,439.702,0,0,0,0
1993-8-10,00:00:00,453.832,453.832,453.832,453.832,0,0,0,0
1993-8-11,00:00:00,479.313,479.313,479.313,479.313,0,0,0,0
1993-8-12,00:00:00,528.486,528.486,528.486,528.486,0,0,0,0
1993-8-13,00:00:00,506.110,506.110,506.110,506.110,0,0,0,0
1993-8-16,00:00:00,511.759,511.759,511.759,511.759,0,0,0,0
1993-8-17,00:00:00,492.123,492.123,492.123,492.123,0,0,0,0
1993-8-18,00:00:00,485.071,485.071,485.071,485.071,0,0,0,0
1993-8-19,00:00:00,486.760,486.760,486.760,486.760,0,0,0,0
1993-8-20,00:00:00,495.419,495.419,495.419,495.419,0,0,0,0
1993-8-23,00:00:00,496.005,496.005,496.005,496.005,0,0,0,0
1993-8-24,00:00:00,492.496,492.496,492.496,492.496,0,0,0,0
1993-8-25,00:00:00,497.334,497.334,497.334,497.334,0,0,0,0
1993-8-26,00:00:00,517.204,517.204,517.204,517.204,0,0,0,0
1993-8-27,00:00:00,531.056,531.056,531.056,531.056,0,0,0,0
1993-8-31,00:00:00,535.077,535.077,535.077,535.077,0,0,0,0
1993-9-1,00:00:00,524.282,524.282,524.282,524.282,0,0,0,0
1993-9-2,00:00:00,515.255,515.255,515.255,515.255,0,0,0,0
1993-9-3,00:00:00,517.343,517.343,517.343,517.343,0,0,0,0
1993-9-6,00:00:00,515.984,515.984,515.984,515.984,0,0,0,0
1993-9-7,00:00:00,519.758,519.758,519.758,519.758,0,0,0,0
1993-9-8,00:00:00,520.917,520.917,520.917,520.917,0,0,0,0
1993-9-9,00:00:00,506.830,506.830,506.830,506.830,0,0,0,0
