日期,时间,开盘价,最高价,最低价,收盘价,成交量,成交额,涨家数,跌家数
1992-4-1,00:00:00,370.100,370.100,363.700,365.600,0,0,0,0
1992-4-2,00:00:00,365.600,365.600,359.100,363.600,0,0,0,0
1992-4-3,00:00:00,363.600,368.000,363.600,366.000,0,0,0,0
1992-4-6,00:00:00,357.300,361.200,357.300,361.200,0,0,0,0
1992-4-7,00:00:00,362.200,366.400,362.000,366.400,0,0,0,0
1992-4-8,00:00:00,363.500,365.300,357.300,359.800,0,0,0,0
1992-4-9,00:00:00,359.800,360.100,350.700,351.900,0,0,0,0
1992-4-10,00:00:00,354.100,369.400,354.100,368.200,0,0,0,0
1992-4-13,00:00:00,368.200,371.300,365.600,367.700,0,0,0,0
1992-4-14,00:00:00,366.900,368.200,365.500,368.100,0,0,0,0
1992-4-15,00:00:00,379.800,382.400,378.900,382.400,0,0,0,0
1992-4-16,00:00:00,384.200,402.600,384.200,401.500,0,0,0,0
1992-4-21,00:00:00,401.500,406.200,398.400,403.800,0,0,0,0
1992-4-22,00:00:00,402.700,405.400,399.800,403.800,0,0,0,0
1992-4-23,00:00:00,403.800,411.500,403.800,407.900,0,0,0,0
1992-4-24,00:00:00,407.900,411.500,405.400,405.400,0,0,0,0
1992-4-27,00:00:00,405.400,408.500,401.900,407.500,0,0,0,0
1992-4-28,00:00:00,407.500,416.800,407.500,412.400,0,0,0,0
1992-4-29,00:00:00,412.400,412.400,406.700,408.300,0,0,0,0
1992-4-30,00:00:00,408.300,410.400,404.500,408.100,0,0,0,0
1992-5-1,00:00:00,404.800,411.100,404.800,410.900,0,0,0,0
1992-5-4,00:00:00,412.900,420.200,412.900,417.900,0,0,0,0
1992-5-5,00:00:00,417.900,421.300,417.100,418.000,0,0,0,0
1992-5-6,00:00:00,419.000,424.000,415.300,420.300,0,0,0,0
1992-5-7,00:00:00,420.300,428.100,420.300,428.100,0,0,0,0
1992-5-8,00:00:00,427.100,428.300,420.700,420.700,0,0,0,0
1992-5-11,00:00:00,420.700,424.400,418.800,424.400,0,0,0,0
1992-5-12,00:00:00,424.400,461.600,424.400,427.000,0,0,0,0
1992-5-13,00:00:00,427.000,431.400,427.000,430.200,0,0,0,0
1992-5-14,00:00:00,430.200,437.300,430.200,430.700,0,0,0,0
1992-5-15,00:00:00,430.700,461.800,426.500,427.300,0,0,0,0
1992-5-18,00:00:00,427.300,427.300,418.400,422.400,0,0,0,0
1992-5-19,00:00:00,422.400,423.400,419.900,420.800,0,0,0,0
1992-5-20,00:00:00,424.100,426.500,422.900,424.500,0,0,0,0
1992-5-21,00:00:00,425.500,436.400,425.500,434.400,0,0,0,0
1992-5-22,00:00:00,435.500,440.300,434.500,434.900,0,0,0,0
1992-5-25,00:00:00,447.100,447.100,444.800,444.900,0,0,0,0
1992-5-26,00:00:00,445.800,449.400,442.400,448.900,0,0,0,0
1992-5-27,00:00:00,450.000,461.500,447.700,459.300,0,0,0,0
1992-5-28,00:00:00,460.800,461.600,451.000,453.500,0,0,0,0
1992-5-29,00:00:00,453.500,462.700,453.500,461.700,0,0,0,0
1992-6-1,00:00:00,462.700,469.300,458.500,460.600,0,0,0,0
1992-6-2,00:00:00,460.600,467.500,458.700,465.500,0,0,0,0
1992-6-3,00:00:00,465.500,465.500,460.000,461.500,0,0,0,0
1992-6-4,00:00:00,461.500,465.800,460.100,464.300,0,0,0,0
1992-6-8,00:00:00,462.200,462.900,456.600,457.900,0,0,0,0
1992-6-9,00:00:00,446.300,450.000,443.900,446.600,0,0,0,0
1992-6-10,00:00:00,446.600,455.800,446.600,452.200,0,0,0,0
1992-6-11,00:00:00,451.200,451.200,439.400,443.100,0,0,0,0
1992-6-12,00:00:00,443.100,447.500,440.200,441.900,0,0,0,0
1992-6-16,00:00:00,441.900,449.100,440.800,448.900,0,0,0,0
1992-6-17,00:00:00,448.900,453.800,448.900,450.800,0,0,0,0
1992-6-18,00:00:00,449.600,451.300,448.600,448.600,0,0,0,0
1992-6-19,00:00:00,448.600,450.300,447.400,450.300,0,0,0,0
1992-6-22,00:00:00,450.300,455.600,450.300,452.000,0,0,0,0
1992-6-23,00:00:00,452.000,456.500,449.700,456.300,0,0,0,0
1992-6-24,00:00:00,456.300,462.600,456.300,460.100,0,0,0,0
1992-6-25,00:00:00,460.100,478.600,460.100,477.800,0,0,0,0
1992-6-26,00:00:00,477.800,492.900,477.800,482.000,0,0,0,0
1992-6-29,00:00:00,482.000,484.100,477.800,481.900,0,0,0,0
1992-6-30,00:00:00,481.900,489.900,481.700,489.900,0,0,0,0
1992-7-1,00:00:00,489.900,500.900,489.600,499.400,0,0,0,0
1992-7-2,00:00:00,499.400,506.400,496.800,498.200,0,0,0,0
1992-7-3,00:00:00,498.200,503.000,493.900,500.700,0,0,0,0
1992-7-6,00:00:00,500.700,505.000,495.400,496.600,0,0,0,0
1992-7-7,00:00:00,496.600,496.600,481.000,486.600,0,0,0,0
1992-7-8,00:00:00,486.600,492.300,484.300,491.500,0,0,0,0
1992-7-9,00:00:00,491.500,491.500,484.100,484.100,0,0,0,0
1992-7-10,00:00:00,484.100,489.600,484.100,487.800,0,0,0,0
1992-7-13,00:00:00,487.800,507.200,487.800,507.200,0,0,0,0
1992-7-14,00:00:00,507.200,516.000,507.200,511.500,0,0,0,0
1992-7-15,00:00:00,511.500,512.100,504.600,512.100,0,0,0,0
1992-7-16,00:00:00,512.100,529.600,512.100,520.200,0,0,0,0
1992-7-17,00:00:00,520.200,524.100,515.700,520.800,0,0,0,0
1992-7-20,00:00:00,512.200,516.500,509.700,511.400,0,0,0,0
1992-7-21,00:00:00,511.400,529.000,508.300,524.500,0,0,0,0
1992-7-23,00:00:00,524.500,525.400,516.400,521.600,0,0,0,0
1992-7-24,00:00:00,521.600,521.600,504.700,504.700,0,0,0,0
