日期,时间,开盘价,最高价,最低价,收盘价,成交量,成交额,涨家数,跌家数
1990-5-14,00:00:00,296.351,298.881,296.351,297.644,0,0,0,0
1990-5-15,00:00:00,297.800,299.015,296.070,296.509,0,0,0,0
1990-5-16,00:00:00,296.400,296.405,293.193,294.889,0,0,0,0
1990-5-17,00:00:00,294.800,294.901,290.674,291.763,0,0,0,0
1990-5-18,00:00:00,290.933,294.154,290.933,292.589,0,0,0,0
1990-5-21,00:00:00,292.504,293.847,292.504,293.083,0,0,0,0
1990-5-22,00:00:00,292.540,297.158,292.540,297.087,0,0,0,0
1990-5-23,00:00:00,297.087,303.460,297.087,302.831,0,0,0,0
1990-5-24,00:00:00,302.831,305.415,302.831,304.801,0,0,0,0
1990-5-25,00:00:00,304.900,306.868,303.710,305.950,0,0,0,0
1990-5-29,00:00:00,305.900,305.950,302.461,304.855,0,0,0,0
1990-5-30,00:00:00,304.848,308.716,304.848,308.335,0,0,0,0
1990-5-31,00:00:00,308.420,313.769,308.420,313.232,0,0,0,0
1990-6-1,00:00:00,313.957,316.672,313.957,315.917,0,0,0,0
1990-6-4,00:00:00,315.900,320.033,315.057,315.322,0,0,0,0
1990-6-5,00:00:00,315.300,317.900,315.269,315.906,0,0,0,0
1990-6-6,00:00:00,315.900,317.249,313.888,317.249,0,0,0,0
1990-6-7,00:00:00,317.200,317.249,314.391,314.530,0,0,0,0
1990-6-8,00:00:00,314.400,317.944,313.623,317.433,0,0,0,0
1990-6-11,00:00:00,317.400,317.433,314.881,315.499,0,0,0,0
1990-6-12,00:00:00,315.793,320.754,315.793,320.300,0,0,0,0
1990-6-13,00:00:00,320.300,322.692,318.461,318.514,0,0,0,0
1990-6-14,00:00:00,318.500,319.939,318.038,319.155,0,0,0,0
1990-6-15,00:00:00,318.900,320.529,317.608,320.152,0,0,0,0
1990-6-19,00:00:00,320.000,322.933,318.521,322.902,0,0,0,0
1990-6-20,00:00:00,322.900,325.004,321.471,323.439,0,0,0,0
1990-6-21,00:00:00,323.400,325.947,323.045,324.621,0,0,0,0
1990-6-22,00:00:00,324.600,325.317,322.669,325.044,0,0,0,0
1990-6-25,00:00:00,325.000,327.647,324.663,327.644,0,0,0,0
1990-6-26,00:00:00,327.815,330.528,327.815,329.235,0,0,0,0
1990-6-27,00:00:00,329.200,329.350,325.898,328.447,0,0,0,0
1990-6-28,00:00:00,328.400,328.447,326.650,327.328,0,0,0,0
1990-6-29,00:00:00,327.200,328.112,325.594,327.824,0,0,0,0
1990-7-2,00:00:00,327.824,332.344,327.824,331.947,0,0,0,0
1990-7-3,00:00:00,331.947,336.554,331.947,335.655,0,0,0,0
1990-7-4,00:00:00,335.600,336.670,333.831,336.349,0,0,0,0
1990-7-5,00:00:00,336.300,336.998,333.831,335.644,0,0,0,0
1990-7-6,00:00:00,334.500,336.095,332.574,335.761,0,0,0,0
1990-7-9,00:00:00,335.989,338.917,335.989,338.515,0,0,0,0
1990-7-10,00:00:00,338.500,341.336,337.846,340.816,0,0,0,0
1990-7-11,00:00:00,340.794,345.011,340.794,344.093,0,0,0,0
1990-7-12,00:00:00,344.800,347.244,344.385,346.859,0,0,0,0
1990-7-13,00:00:00,346.859,351.573,346.859,350.716,0,0,0,0
1990-7-16,00:00:00,350.700,351.348,346.866,348.885,0,0,0,0
1990-7-17,00:00:00,348.800,349.094,346.394,346.394,0,0,0,0
1990-7-18,00:00:00,346.394,352.934,346.394,352.829,0,0,0,0
1990-7-19,00:00:00,352.800,353.009,351.551,352.358,0,0,0,0
1990-7-20,00:00:00,352.300,354.288,350.469,354.043,0,0,0,0
1990-7-23,00:00:00,354.000,355.989,352.855,355.989,0,0,0,0
1990-7-24,00:00:00,354.100,354.180,347.989,349.587,0,0,0,0
1990-7-25,00:00:00,349.700,353.544,349.587,352.054,0,0,0,0
1990-7-26,00:00:00,352.000,352.136,347.464,348.359,0,0,0,0
1990-7-27,00:00:00,347.900,349.211,344.361,348.580,0,0,0,0
1990-7-30,00:00:00,348.100,348.188,344.474,344.541,0,0,0,0
1990-7-31,00:00:00,344.500,345.645,342.907,343.849,0,0,0,0
1990-8-1,00:00:00,343.800,348.870,343.795,346.864,0,0,0,0
1990-8-2,00:00:00,346.800,347.948,339.735,341.518,0,0,0,0
1990-8-3,00:00:00,341.000,341.097,334.179,335.695,0,0,0,0
1990-8-6,00:00:00,334.600,334.672,310.798,310.798,0,0,0,0
1990-8-7,00:00:00,307.500,314.667,290.911,309.869,0,0,0,0
1990-8-8,00:00:00,309.800,317.102,308.195,314.557,0,0,0,0
1990-8-9,00:00:00,314.400,314.453,308.956,309.112,0,0,0,0
1990-8-10,00:00:00,309.100,312.240,305.910,307.897,0,0,0,0
1990-8-13,00:00:00,307.600,307.897,304.028,304.028,0,0,0,0
