日期,时间,开盘价,最高价,最低价,收盘价,成交量,成交额,涨家数,跌家数
1993-1-4,00:00:00,830.300,831.100,826.500,829.600,0,0,0,0
1993-1-5,00:00:00,829.600,849.700,829.600,848.500,0,0,0,0
1993-1-6,00:00:00,848.500,851.300,842.900,848.300,0,0,0,0
1993-1-7,00:00:00,848.300,848.300,838.700,841.000,0,0,0,0
1993-1-8,00:00:00,839.400,842.900,835.400,838.300,0,0,0,0
1993-1-11,00:00:00,842.000,858.100,842.000,857.200,0,0,0,0
1993-1-12,00:00:00,857.600,864.400,853.500,856.400,0,0,0,0
1993-1-13,00:00:00,860.000,876.600,860.000,868.700,0,0,0,0
1993-1-14,00:00:00,867.900,893.300,865.400,893.300,0,0,0,0
1993-1-15,00:00:00,892.900,894.300,879.600,883.100,0,0,0,0
1993-1-18,00:00:00,883.100,888.500,881.300,885.300,0,0,0,0
1993-1-19,00:00:00,885.300,889.400,880.200,887.200,0,0,0,0
1993-1-20,00:00:00,887.400,892.500,885.700,887.100,0,0,0,0
1993-1-21,00:00:00,886.300,902.100,883.400,898.300,0,0,0,0
1993-1-26,00:00:00,900.000,904.200,893.700,893.700,0,0,0,0
1993-1-27,00:00:00,893.700,895.200,885.500,885.500,0,0,0,0
1993-1-28,00:00:00,884.400,884.400,863.700,866.700,0,0,0,0
1993-1-29,00:00:00,865.900,865.900,851.200,857.100,0,0,0,0
1993-2-1,00:00:00,857.100,857.100,846.800,849.700,0,0,0,0
1993-2-2,00:00:00,849.100,853.800,841.700,846.000,0,0,0,0
1993-2-3,00:00:00,846.000,858.100,846.000,854.500,0,0,0,0
1993-2-4,00:00:00,856.500,869.300,856.500,868.400,0,0,0,0
1993-2-5,00:00:00,869.300,877.200,863.400,868.100,0,0,0,0
1993-2-8,00:00:00,865.700,872.600,858.400,872.500,0,0,0,0
1993-2-9,00:00:00,876.800,878.000,871.600,873.400,0,0,0,0
1993-2-10,00:00:00,873.400,884.200,873.400,883.500,0,0,0,0
1993-2-11,00:00:00,883.700,894.000,883.700,890.300,0,0,0,0
1993-2-12,00:00:00,889.300,890.000,883.800,889.200,0,0,0,0
1993-2-15,00:00:00,903.100,926.600,892.400,925.800,0,0,0,0
1993-2-16,00:00:00,925.800,946.700,913.600,936.200,0,0,0,0
1993-2-17,00:00:00,933.500,953.700,930.600,951.100,0,0,0,0
1993-2-18,00:00:00,953.300,969.300,953.300,967.800,0,0,0,0
1993-2-19,00:00:00,979.700,983.200,959.400,962.300,0,0,0,0
1993-2-22,00:00:00,961.900,976.700,961.900,974.300,0,0,0,0
1993-2-23,00:00:00,973.400,973.400,955.800,962.100,0,0,0,0
1993-2-24,00:00:00,962.100,976.700,951.000,973.700,0,0,0,0
1993-2-25,00:00:00,973.200,982.700,971.800,982.700,0,0,0,0
1993-2-26,00:00:00,997.500,1002.800,991.300,1002.200,0,0,0,0
