日期,时间,开盘价,最高价,最低价,收盘价,成交量,成交额,涨家数,跌家数
1992-4-1,00:00:00,635.600,635.600,626.900,632.400,0,0,0,0
1992-4-2,00:00:00,632.400,642.500,632.400,641.100,0,0,0,0
1992-4-3,00:00:00,641.100,646.100,637.900,638.600,0,0,0,0
1992-4-6,00:00:00,635.800,644.000,635.700,642.600,0,0,0,0
1992-4-7,00:00:00,646.800,648.200,644.300,646.500,0,0,0,0
1992-4-8,00:00:00,646.500,646.500,630.200,634.800,0,0,0,0
1992-4-9,00:00:00,634.800,634.800,618.900,618.900,0,0,0,0
1992-4-10,00:00:00,621.500,643.200,621.500,640.100,0,0,0,0
1992-4-13,00:00:00,640.100,645.000,634.900,634.900,0,0,0,0
1992-4-14,00:00:00,636.300,639.000,633.600,636.300,0,0,0,0
1992-4-15,00:00:00,639.500,646.600,639.500,646.600,0,0,0,0
1992-4-16,00:00:00,646.600,654.200,646.600,652.500,0,0,0,0
1992-4-21,00:00:00,652.500,653.000,647.300,647.300,0,0,0,0
1992-4-22,00:00:00,647.900,657.600,647.900,655.100,0,0,0,0
1992-4-23,00:00:00,658.700,685.600,658.700,683.200,0,0,0,0
1992-4-24,00:00:00,700.000,708.600,695.800,700.600,0,0,0,0
1992-4-27,00:00:00,698.800,698.800,688.800,697.200,0,0,0,0
1992-4-28,00:00:00,697.900,704.800,693.800,697.200,0,0,0,0
1992-4-29,00:00:00,697.200,697.200,687.300,687.300,0,0,0,0
1992-4-30,00:00:00,688.000,692.800,685.300,688.700,0,0,0,0
1992-5-1,00:00:00,687.900,694.100,686.100,694.100,0,0,0,0
1992-5-4,00:00:00,697.700,707.500,697.700,703.800,0,0,0,0
1992-5-5,00:00:00,703.800,714.400,703.800,711.700,0,0,0,0
1992-5-6,00:00:00,709.900,716.100,701.900,708.600,0,0,0,0
1992-5-7,00:00:00,708.600,716.800,708.200,711.300,0,0,0,0
1992-5-8,00:00:00,714.400,719.200,711.300,716.300,0,0,0,0
1992-5-11,00:00:00,715.000,716.000,710.400,713.600,0,0,0,0
1992-5-12,00:00:00,713.600,731.000,713.600,726.400,0,0,0,0
1992-5-13,00:00:00,726.400,738.700,726.400,734.900,0,0,0,0
1992-5-14,00:00:00,733.800,747.200,730.700,731.800,0,0,0,0
1992-5-15,00:00:00,731.800,731.800,723.800,727.000,0,0,0,0
1992-5-18,00:00:00,727.000,727.000,712.500,713.100,0,0,0,0
1992-5-19,00:00:00,713.100,720.200,712.900,717.900,0,0,0,0
1992-5-20,00:00:00,717.900,732.400,717.900,730.600,0,0,0,0
1992-5-21,00:00:00,731.000,745.800,731.000,738.900,0,0,0,0
1992-5-22,00:00:00,738.900,746.000,736.400,741.500,0,0,0,0
1992-5-25,00:00:00,741.500,770.500,741.500,758.400,0,0,0,0
1992-5-26,00:00:00,758.400,760.700,751.700,759.600,0,0,0,0
1992-5-27,00:00:00,759.600,759.600,742.600,747.500,0,0,0,0
1992-5-28,00:00:00,736.800,737.200,724.100,727.500,0,0,0,0
1992-5-29,00:00:00,727.000,730.500,718.300,727.000,0,0,0,0
1992-6-1,00:00:00,727.000,732.300,718.200,719.500,0,0,0,0
1992-6-2,00:00:00,720.800,724.900,714.500,721.100,0,0,0,0
1992-6-3,00:00:00,721.100,721.200,711.600,718.800,0,0,0,0
1992-6-4,00:00:00,718.800,720.500,702.400,715.300,0,0,0,0
1992-6-8,00:00:00,716.000,723.000,714.900,716.100,0,0,0,0
1992-6-9,00:00:00,716.100,716.400,709.100,712.500,0,0,0,0
1992-6-10,00:00:00,712.500,714.800,702.300,706.100,0,0,0,0
1992-6-11,00:00:00,695.700,696.500,689.200,693.700,0,0,0,0
1992-6-12,00:00:00,693.700,700.600,692.200,695.600,0,0,0,0
1992-6-16,00:00:00,695.600,695.600,684.400,691.000,0,0,0,0
1992-6-17,00:00:00,691.000,695.900,689.600,689.600,0,0,0,0
1992-6-18,00:00:00,689.600,689.600,678.000,678.000,0,0,0,0
1992-6-19,00:00:00,678.000,678.000,673.000,674.400,0,0,0,0
1992-6-22,00:00:00,674.400,680.100,673.400,675.200,0,0,0,0
1992-6-23,00:00:00,675.200,681.300,670.800,680.600,0,0,0,0
1992-6-24,00:00:00,680.600,693.600,680.600,689.800,0,0,0,0
1992-6-25,00:00:00,689.800,702.600,689.800,696.700,0,0,0,0
1992-6-26,00:00:00,696.700,709.800,696.700,701.800,0,0,0,0
1992-6-29,00:00:00,701.800,701.800,694.100,695.000,0,0,0,0
1992-6-30,00:00:00,695.000,699.700,689.800,696.400,0,0,0,0
1992-7-1,00:00:00,696.400,702.600,695.900,698.600,0,0,0,0
1992-7-2,00:00:00,698.600,708.300,695.800,696.800,0,0,0,0
1992-7-3,00:00:00,696.800,701.000,691.200,698.300,0,0,0,0
1992-7-6,00:00:00,698.300,703.400,695.000,697.800,0,0,0,0
1992-7-7,00:00:00,697.800,697.800,680.600,686.600,0,0,0,0
1992-7-8,00:00:00,686.600,698.700,686.600,698.700,0,0,0,0
1992-7-9,00:00:00,698.700,698.700,691.500,692.300,0,0,0,0
1992-7-10,00:00:00,692.300,700.200,691.600,700.200,0,0,0,0
1992-7-13,00:00:00,700.200,707.700,699.500,705.300,0,0,0,0
1992-7-14,00:00:00,705.300,710.200,703.200,703.200,0,0,0,0
1992-7-15,00:00:00,703.200,710.200,701.400,708.300,0,0,0,0
1992-7-16,00:00:00,708.300,716.100,708.300,710.400,0,0,0,0
1992-7-17,00:00:00,710.400,710.400,702.000,706.800,0,0,0,0
1992-7-20,00:00:00,703.700,703.700,687.000,687.800,0,0,0,0
1992-7-21,00:00:00,687.800,694.000,682.200,687.200,0,0,0,0
1992-7-23,00:00:00,687.200,687.200,674.800,675.700,0,0,0,0
1992-7-24,00:00:00,675.700,677.300,663.600,665.000,0,0,0,0
1992-7-27,00:00:00,665.000,668.100,650.600,650.600,0,0,0,0
