日期,时间,开盘价,最高价,最低价,收盘价,成交量,成交额,涨家数,跌家数
2001-1-2,00:00:00,2.785,2.785,2.785,2.785,0,0,0,0
2001-1-3,00:00:00,2.816,2.816,2.816,2.816,0,0,0,0
2001-1-4,00:00:00,2.855,2.855,2.855,2.855,0,0,0,0
2001-1-5,00:00:00,2.727,2.727,2.727,2.727,0,0,0,0
2001-1-8,00:00:00,2.833,2.833,2.833,2.833,0,0,0,0
2001-1-9,00:00:00,2.774,2.774,2.774,2.774,0,0,0,0
2001-1-10,00:00:00,2.818,2.818,2.818,2.818,0,0,0,0
2001-1-11,00:00:00,2.813,2.813,2.813,2.813,0,0,0,0
2001-1-12,00:00:00,2.709,2.709,2.709,2.709,0,0,0,0
2001-1-15,00:00:00,2.732,2.732,2.732,2.732,0,0,0,0
2001-1-16,00:00:00,2.668,2.668,2.668,2.668,0,0,0,0
2001-1-17,00:00:00,2.694,2.694,2.694,2.694,0,0,0,0
2001-1-18,00:00:00,2.513,2.513,2.513,2.513,0,0,0,0
2001-1-19,00:00:00,2.311,2.311,2.311,2.311,0,0,0,0
2001-1-22,00:00:00,2.322,2.322,2.322,2.322,0,0,0,0
2001-1-23,00:00:00,2.452,2.452,2.452,2.452,0,0,0,0
2001-1-29,00:00:00,2.624,2.624,2.624,2.624,0,0,0,0
2001-1-30,00:00:00,2.645,2.645,2.645,2.645,0,0,0,0
2001-1-31,00:00:00,2.761,2.761,2.761,2.761,0,0,0,0
2001-2-1,00:00:00,2.725,2.725,2.725,2.725,0,0,0,0
2001-2-2,00:00:00,2.593,2.593,2.593,2.593,0,0,0,0
2001-2-5,00:00:00,2.672,2.672,2.672,2.672,0,0,0,0
2001-2-6,00:00:00,2.602,2.602,2.602,2.602,0,0,0,0
2001-2-7,00:00:00,2.386,2.386,2.386,2.386,0,0,0,0
2001-2-8,00:00:00,2.369,2.369,2.369,2.369,0,0,0,0
2001-2-9,00:00:00,2.356,2.356,2.356,2.356,0,0,0,0
2001-2-12,00:00:00,2.448,2.448,2.448,2.448,0,0,0,0
2001-2-13,00:00:00,2.352,2.352,2.352,2.352,0,0,0,0
2001-2-14,00:00:00,2.340,2.340,2.340,2.340,0,0,0,0
2001-2-15,00:00:00,2.317,2.317,2.317,2.317,0,0,0,0
2001-2-16,00:00:00,2.299,2.299,2.299,2.299,0,0,0,0
2001-2-19,00:00:00,2.256,2.256,2.256,2.256,0,0,0,0
2001-2-20,00:00:00,2.194,2.194,2.194,2.194,0,0,0,0
2001-2-21,00:00:00,2.322,2.322,2.322,2.322,0,0,0,0
2001-2-22,00:00:00,2.522,2.522,2.522,2.522,0,0,0,0
2001-2-23,00:00:00,2.361,2.361,2.361,2.361,0,0,0,0
2001-2-26,00:00:00,2.430,2.430,2.430,2.430,0,0,0,0
2001-2-27,00:00:00,2.481,2.481,2.481,2.481,0,0,0,0
2001-2-28,00:00:00,2.454,2.454,2.454,2.454,0,0,0,0
2001-3-1,00:00:00,2.471,2.471,2.471,2.471,0,0,0,0
2001-3-2,00:00:00,2.698,2.698,2.698,2.698,0,0,0,0
2001-3-5,00:00:00,2.686,2.686,2.686,2.686,0,0,0,0
2001-3-6,00:00:00,2.616,2.616,2.616,2.616,0,0,0,0
2001-3-7,00:00:00,2.576,2.576,2.576,2.576,0,0,0,0
2001-3-8,00:00:00,2.472,2.472,2.472,2.472,0,0,0,0
2001-3-9,00:00:00,2.452,2.452,2.452,2.452,0,0,0,0
2001-3-12,00:00:00,2.652,2.652,2.652,2.652,0,0,0,0
2001-3-13,00:00:00,2.675,2.675,2.675,2.675,0,0,0,0
2001-3-14,00:00:00,2.709,2.709,2.709,2.709,0,0,0,0
2001-3-15,00:00:00,2.843,2.843,2.843,2.843,0,0,0,0
2001-3-16,00:00:00,2.781,2.781,2.781,2.781,0,0,0,0
2001-3-19,00:00:00,2.874,2.874,2.874,2.874,0,0,0,0
2001-3-20,00:00:00,2.885,2.885,2.885,2.885,0,0,0,0
2001-3-21,00:00:00,2.908,2.908,2.908,2.908,0,0,0,0
2001-3-22,00:00:00,3.112,3.112,3.112,3.112,0,0,0,0
2001-3-23,00:00:00,3.176,3.176,3.176,3.176,0,0,0,0
2001-3-26,00:00:00,2.997,2.997,2.997,2.997,0,0,0,0
2001-3-27,00:00:00,3.007,3.007,3.007,3.007,0,0,0,0
2001-3-28,00:00:00,3.022,3.022,3.022,3.022,0,0,0,0
2001-3-29,00:00:00,3.046,3.046,3.046,3.046,0,0,0,0
2001-3-30,00:00:00,2.943,2.943,2.943,2.943,0,0,0,0
2001-4-2,00:00:00,2.975,2.975,2.975,2.975,0,0,0,0
2001-4-3,00:00:00,2.925,2.925,2.925,2.925,0,0,0,0
2001-4-4,00:00:00,2.958,2.958,2.958,2.958,0,0,0,0
2001-4-6,00:00:00,3.047,3.047,3.047,3.047,0,0,0,0
2001-4-9,00:00:00,3.098,3.098,3.098,3.098,0,0,0,0
2001-4-10,00:00:00,2.902,2.902,2.902,2.902,0,0,0,0
2001-4-11,00:00:00,2.843,2.843,2.843,2.843,0,0,0,0
2001-4-12,00:00:00,2.797,2.797,2.797,2.797,0,0,0,0
2001-4-17,00:00:00,2.945,2.945,2.945,2.945,0,0,0,0
2001-4-18,00:00:00,2.918,2.918,2.918,2.918,0,0,0,0
2001-4-19,00:00:00,3.069,3.069,3.069,3.069,0,0,0,0
2001-4-20,00:00:00,2.952,2.952,2.952,2.952,0,0,0,0
2001-4-23,00:00:00,3.039,3.039,3.039,3.039,0,0,0,0
2001-4-24,00:00:00,3.050,3.050,3.050,3.050,0,0,0,0
2001-4-25,00:00:00,2.951,2.951,2.951,2.951,0,0,0,0
2001-4-26,00:00:00,2.788,2.788,2.788,2.788,0,0,0,0
2001-4-27,00:00:00,2.617,2.617,2.617,2.617,0,0,0,0
2001-5-2,00:00:00,2.661,2.661,2.661,2.661,0,0,0,0
2001-5-3,00:00:00,2.642,2.642,2.642,2.642,0,0,0,0
2001-5-4,00:00:00,2.664,2.664,2.664,2.664,0,0,0,0
2001-5-7,00:00:00,2.726,2.726,2.726,2.726,0,0,0,0
2001-5-8,00:00:00,2.716,2.716,2.716,2.716,0,0,0,0
2001-5-9,00:00:00,2.714,2.714,2.714,2.714,0,0,0,0
2001-5-10,00:00:00,2.722,2.722,2.722,2.722,0,0,0,0
2001-5-11,00:00:00,2.665,2.665,2.665,2.665,0,0,0,0
2001-5-14,00:00:00,2.761,2.761,2.761,2.761,0,0,0,0
2001-5-15,00:00:00,2.818,2.818,2.818,2.818,0,0,0,0
2001-5-16,00:00:00,2.766,2.766,2.766,2.766,0,0,0,0
2001-5-17,00:00:00,2.664,2.664,2.664,2.664,0,0,0,0
2001-5-18,00:00:00,2.623,2.623,2.623,2.623,0,0,0,0
2001-5-21,00:00:00,2.647,2.647,2.647,2.647,0,0,0,0
2001-5-22,00:00:00,2.573,2.573,2.573,2.573,0,0,0,0
2001-5-23,00:00:00,2.503,2.503,2.503,2.503,0,0,0,0
2001-5-24,00:00:00,2.467,2.467,2.467,2.467,0,0,0,0
2001-5-25,00:00:00,2.398,2.398,2.398,2.398,0,0,0,0
2001-5-28,00:00:00,2.466,2.466,2.466,2.466,0,0,0,0
2001-5-29,00:00:00,2.481,2.481,2.481,2.481,0,0,0,0
2001-5-30,00:00:00,2.530,2.530,2.530,2.530,0,0,0,0
2001-5-31,00:00:00,2.564,2.564,2.564,2.564,0,0,0,0
2001-6-1,00:00:00,2.464,2.464,2.464,2.464,0,0,0,0
2001-6-4,00:00:00,2.446,2.446,2.446,2.446,0,0,0,0
2001-6-5,00:00:00,2.335,2.335,2.335,2.335,0,0,0,0
2001-6-6,00:00:00,2.256,2.256,2.256,2.256,0,0,0,0
2001-6-7,00:00:00,2.170,2.170,2.170,2.170,0,0,0,0
2001-6-8,00:00:00,2.142,2.142,2.142,2.142,0,0,0,0
2001-6-11,00:00:00,2.190,2.190,2.190,2.190,0,0,0,0
2001-6-12,00:00:00,2.224,2.224,2.224,2.224,0,0,0,0
2001-6-13,00:00:00,2.254,2.254,2.254,2.254,0,0,0,0
2001-6-14,00:00:00,2.354,2.354,2.354,2.354,0,0,0,0
2001-6-15,00:00:00,2.344,2.344,2.344,2.344,0,0,0,0
2001-6-18,00:00:00,2.445,2.445,2.445,2.445,0,0,0,0
2001-6-19,00:00:00,2.412,2.412,2.412,2.412,0,0,0,0
2001-6-20,00:00:00,2.483,2.483,2.483,2.483,0,0,0,0
2001-6-21,00:00:00,2.391,2.391,2.391,2.391,0,0,0,0
2001-6-22,00:00:00,2.273,2.273,2.273,2.273,0,0,0,0
2001-6-26,00:00:00,2.375,2.375,2.375,2.375,0,0,0,0
